category,name,shortlist,code,scheme,aum,earliestNavDate,navCount,cat-avg,rr-all-rank,rr-all-avg,rr-1-avg,rr-3-avg,rr-5-avg,rr-8-avg,rr-10-avg,rr-12-avg,rr-all-count,rr-all-avg-,rr-all-stddev,rr-all-median,rr-all-min,rr-all-max,rr-all-dist-<0,rr-all-dist-0-10,rr-all-dist-10-20,rr-all-dist-20-30,rr-all-dist->30,rr-1-count,rr-1-avg-,rr-1-stddev,rr-1-median,rr-1-min,rr-1-max,rr-1-dist-<0,rr-1-dist-0-10,rr-1-dist-10-20,rr-1-dist-20-30,rr-1-dist->30,rr-3-count,rr-3-avg-,rr-3-stddev,rr-3-median,rr-3-min,rr-3-max,rr-3-dist-<0,rr-3-dist-0-10,rr-3-dist-10-20,rr-3-dist-20-30,rr-3-dist->30,rr-5-count,rr-5-avg-,rr-5-stddev,rr-5-median,rr-5-min,rr-5-max,rr-5-dist-<0,rr-5-dist-0-10,rr-5-dist-10-20,rr-5-dist-20-30,rr-5-dist->30,rr-8-count,rr-8-avg-,rr-8-stddev,rr-8-median,rr-8-min,rr-8-max,rr-8-dist-<0,rr-8-dist-0-10,rr-8-dist-10-20,rr-8-dist-20-30,rr-8-dist->30,rr-10-count,rr-10-avg-,rr-10-stddev,rr-10-median,rr-10-min,rr-10-max,rr-10-dist-<0,rr-10-dist-0-10,rr-10-dist-10-20,rr-10-dist-20-30,rr-10-dist->30,rr-12-count,rr-12-avg-,rr-12-stddev,rr-12-median,rr-12-min,rr-12-max,rr-12-dist-<0,rr-12-dist-0-10,rr-12-dist-10-20,rr-12-dist-20-30,rr-12-dist->30
"Banking and PSU Fund","Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth","","103176","Debt Scheme","undefined","undefined","4720","undefined","","","","","","","","","17572","","","","","","0","0","0","0","0","4142","","","","","","0","0","0","0","0","3756","","","","","","0","0","0","0","0","3244","","","","","","0","0","0","0","0","2584","","","","","","0","0","0","0","0","2149","","","","","","0","0","0","0","0","1697","","","","","","0","0","0","0","0"
"Banking and PSU Fund","Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth","","119550","Debt Scheme","undefined","undefined","3080","undefined","","","","","","","","","8455","","","","","","0","0","0","0","0","2623","","","","","","0","0","0","0","0","2225","","","","","","0","0","0","0","0","1734","","","","","","0","0","0","0","0","1070","","","","","","0","0","0","0","0","624","","","","","","0","0","0","0","0","179","","","","","","0","0","0","0","0"
"Banking and PSU Fund","Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option","","128952","Debt Scheme","undefined","undefined","698","undefined","","","","","","","","","423","","","","","","0","0","0","0","0","423","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Banking and PSU Fund","Axis Banking & PSU Debt Fund - Direct Plan - Growth Option","","120438","Debt Scheme","undefined","undefined","3083","undefined","","","","","","","","","8450","","","","","","0","0","0","0","0","2622","","","","","","0","0","0","0","0","2224","","","","","","0","0","0","0","0","1733","","","","","","0","0","0","0","0","1069","","","","","","0","0","0","0","0","623","","","","","","0","0","0","0","0","179","","","","","","0","0","0","0","0"
"Banking and PSU Fund","Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth","","152162","Debt Scheme","undefined","undefined","456","undefined","","","","","","","","","197","","","","","","0","0","0","0","0","197","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Banking and PSU Fund","Bandhan Banking and PSU Fund - Direct Growth","","121279","Debt Scheme","undefined","undefined","3038","undefined","","","","","","","","","8193","","","","","","0","0","0","0","0","2580","","","","","","0","0","0","0","0","2181","","","","","","0","0","0","0","0","1690","","","","","","0","0","0","0","0","1027","","","","","","0","0","0","0","0","579","","","","","","0","0","0","0","0","136","","","","","","0","0","0","0","0"
"Banking and PSU Fund","Bandhan Banking and PSU Fund - Regular Growth","","121280","Debt Scheme","undefined","undefined","3038","undefined","","","","","","","","","8193","","","","","","0","0","0","0","0","2580","","","","","","0","0","0","0","0","2181","","","","","","0","0","0","0","0","1690","","","","","","0","0","0","0","0","1027","","","","","","0","0","0","0","0","579","","","","","","0","0","0","0","0","136","","","","","","0","0","0","0","0"
"Banking and PSU Fund","Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option","","148628","Debt Scheme","undefined","undefined","1160","undefined","","","","","","","","","1260","","","","","","0","0","0","0","0","849","","","","","","0","0","0","0","0","411","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Banking and PSU Fund","Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option","","150505","Debt Scheme","undefined","undefined","754","undefined","","","","","","","","","497","","","","","","0","0","0","0","0","469","","","","","","0","0","0","0","0","28","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Banking and PSU Fund","DSP Banking & PSU Debt Fund - Direct Plan - Growth","","124175","Debt Scheme","undefined","undefined","2917","undefined","","","","","","","","","7500","","","","","","0","0","0","0","0","2467","","","","","","0","0","0","0","0","2065","","","","","","0","0","0","0","0","1574","","","","","","0","0","0","0","0","911","","","","","","0","0","0","0","0","463","","","","","","0","0","0","0","0","20","","","","","","0","0","0","0","0"
